iter	RMSE
0	169788.381
1	152970.8529
2	141920.5153
3	136513.4607
4	130402.0789
5	128122.8368
6	126672.5943
7	123806.268
8	122058.041
9	120708.4164
10	119672.1388
11	118917.0223
12	118180.0536
13	117289.0466
14	116838.4838
15	115830.6192
16	114965.5594
17	114431.146
18	113497.7152
19	112771.8253
20	112155.3296
21	111409.4197
22	110698.2458
23	110009.867
24	109503.4906
25	109043.3079
26	108608.208
27	108257.0244
28	108020.6759
29	107581.1386
30	107253.8357
31	106716.7569
32	106345.1492
33	105951.7254
34	105386.9668
35	105124.7486
36	104813.9526
37	104594.195
38	104300.1196
39	104011.0453
40	103741.4216
41	103475.8153
42	103266.4271
43	102883.0592
44	102616.8731
45	102332.9729
46	102112.1799
47	101841.888
48	101698.1761
49	101414.9979
50	101214.2452
51	100978.556
52	100817.5521
53	100453.2177
54	100288.7191
55	100139.844
56	100012.0662
57	99834.14915
58	99658.82295
59	99497.74635
60	99386.04297
61	99215.70273
62	99073.11207
63	98862.22418
64	98679.68775
65	98474.6062
66	98255.77238
67	98089.40022
68	97915.33849
69	97759.66443
70	97598.39873
71	97511.27615
72	97374.20921
73	97245.78493
74	97028.61622
75	96860.95927
76	96651.65163
77	96426.00447
78	96316.96683
79	96235.05369
80	96002.16232
81	95817.9331
82	95704.59163
83	95530.50482
84	95354.87816
85	95228.33165
86	95092.53896
87	94991.39537
88	94906.11056
89	94792.80874
90	94648.73744
91	94481.89999
92	94346.64186
93	94273.9159
94	94178.7373
95	94102.33984
96	94020.226
97	93943.52936
98	93763.01438
99	93700.38402
