iter	Passed	Remaining
0	17	1728
1	34	1693
2	52	1702
3	68	1642
4	83	1588
5	97	1535
6	110	1464
7	123	1424
8	136	1380
9	149	1349
10	162	1313
11	176	1294
12	197	1323
13	229	1411
14	246	1397
15	259	1362
16	271	1324
17	284	1294
18	296	1266
19	312	1249
20	332	1249
21	345	1224
22	358	1200
23	370	1172
24	381	1145
25	392	1116
26	402	1088
27	413	1063
28	428	1047
29	445	1040
30	460	1024
31	472	1003
32	483	980
33	494	960
34	507	943
35	521	926
36	536	913
37	550	898
38	564	882
39	577	866
40	592	853
41	608	840
42	622	825
43	642	818
44	675	825
45	696	817
46	713	804
47	726	786
48	737	768
49	751	751
50	770	740
51	781	721
52	792	702
53	803	684
54	814	666
55	822	646
56	833	628
57	848	614
58	862	599
59	871	581
60	885	566
61	900	552
62	912	535
63	925	520
64	936	504
65	949	488
66	965	475
67	975	459
68	986	443
69	998	427
70	1009	412
71	1018	396
72	1032	381
73	1048	368
74	1064	354
75	1080	341
76	1099	328
77	1119	315
78	1135	301
79	1148	287
80	1164	273
81	1174	257
82	1184	242
83	1199	228
84	1216	214
85	1243	202
86	1264	188
87	1279	174
88	1296	160
89	1308	145
90	1323	130
91	1337	116
92	1348	101
93	1361	86
94	1372	72
95	1388	57
96	1402	43
97	1412	28
98	1429	14
99	1446	0
