BathroomCount,BedroomCount,ConstructionYear,District,Fireplace,Garden,GardenArea,Kitchen,LivingArea,Locality,MonthlyCharges,NumberOfFacades,PEB,PostalCode,Price,PropertyId,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfSale
4,6,1970,Nivelles,1,1,2519,INSTALLED,425,WATERLOO,0,4,C,1410,5500,10956598,Walloon Brabant,Wallonie,5,0,GOOD,villa,2519,0,1,5,residential_monthly_rent
1,3,2002,Brussels,0,0,127,USA_INSTALLED,200,Ixelles,200,2,B,1050,2700,10956216,Brussels,Brussels,6,2,GOOD,apartment,333,0,1,3,residential_monthly_rent
1,0,2002,Brussels,0,0,127,INSTALLED,35,Saint-Gilles,0,2,B,1060,750,10955785,Brussels,Brussels,5,1,JUST_RENOVATED,flat_studio,333,0,0,1,residential_monthly_rent
1,1,1920,Brussels,0,0,127,INSTALLED,55,Etterbeek,200,2,B,1040,900,10954247,Brussels,Brussels,5,0,GOOD,duplex,333,0,1,1,residential_monthly_rent
4,6,2002,Brussels,0,0,127,HYPER_EQUIPPED,800,Uccle,0,4,D,1180,12000,10952639,Brussels,Brussels,5,0,AS_NEW,villa,0,1,1,6,residential_monthly_rent
1,1,2002,Liège,0,0,127,INSTALLED,120,Oupeye,100,3,B,4680,880,10951010,Liège,Wallonie,5,1,GOOD,apartment,333,0,0,1,residential_monthly_rent
1,1,2002,Gent,0,0,127,INSTALLED,120,Gavere,0,3,B,9890,800,10948858,East Flanders,Flanders,9,0,GOOD,apartment,333,0,0,0,residential_monthly_rent
1,2,2023,Kortrijk,0,0,127,INSTALLED,120,Waregem,0,3,B,8790,825,10948810,West Flanders,Flanders,5,0,GOOD,apartment,333,0,0,0,residential_monthly_rent
1,1,2002,Arlon,0,0,127,HYPER_EQUIPPED,120,Arlon,200,3,B,6700,700,10947692,Luxembourg,Wallonie,5,1,JUST_RENOVATED,kot,333,0,0,1,residential_monthly_rent
1,2,2009,Oostend,0,0,127,INSTALLED,85,Eernegem,30,3,B,8480,820,10947228,West Flanders,Flanders,1,0,GOOD,apartment,333,0,1,2,residential_monthly_rent
3,4,2002,Halle-Vilvoorde,0,1,680,HYPER_EQUIPPED,289,Linkebeek,0,4,D,1630,4500,10945272,Flemish Brabant,Flanders,5,0,AS_NEW,villa,2500,0,1,3,residential_monthly_rent
0,2,2014,Verviers,0,1,37,INSTALLED,120,Heusy,0,2,B,4802,1200,10943667,Liège,Wallonie,5,1,GOOD,apartment,333,0,1,0,residential_monthly_rent
1,3,2002,Brussels,0,0,127,INSTALLED,150,Ixelles,0,3,G,1050,3800,10941482,Brussels,Brussels,3,1,GOOD,penthouse,333,0,1,0,residential_monthly_rent
1,2,2018,Gent,0,0,127,INSTALLED,81,Gent,114,3,B,9000,1200,10941191,East Flanders,Flanders,5,0,GOOD,service_flat,333,0,0,0,residential_monthly_rent
1,1,2002,Aalst,0,0,127,INSTALLED,70,Denderhoutem,0,3,B,9450,840,10941046,East Flanders,Flanders,2,0,JUST_RENOVATED,apartment,333,0,0,1,residential_monthly_rent
1,1,2002,Aalst,0,0,127,INSTALLED,72,Haaltert,0,3,B,9450,840,10941033,East Flanders,Flanders,2,0,JUST_RENOVATED,apartment,333,0,0,1,residential_monthly_rent
1,2,2002,Aalst,0,0,127,INSTALLED,70,Sint-Lievens-Houtem,0,3,B,9550,840,10941018,East Flanders,Flanders,3,0,JUST_RENOVATED,apartment,333,0,1,1,residential_monthly_rent
2,3,2023,Halle-Vilvoorde,0,0,127,INSTALLED,240,Meise,0,4,A,1860,1950,10940640,Flemish Brabant,Flanders,5,0,GOOD,house,0,0,0,0,residential_monthly_rent
3,4,2010,Brussels,0,0,127,INSTALLED,300,Uccle,0,4,D,1180,4500,10938962,Brussels,Brussels,5,0,GOOD,villa,1500,0,1,3,residential_monthly_rent
0,1,2002,Tournai,0,0,127,INSTALLED,120,TOURNAI,0,3,C,7500,450,10938954,Hainaut,Wallonie,5,1,AS_NEW,apartment,333,0,0,1,residential_monthly_rent
3,3,2014,Brussels,0,0,127,USA_HYPER_EQUIPPED,340,Uccle,0,3,C,1180,7490,10938731,Brussels,Brussels,5,0,GOOD,duplex,333,0,1,5,residential_monthly_rent
1,2,2002,Tongeren,0,0,127,INSTALLED,106,Lanaken,0,3,B,3620,1300,10936682,Limburg,Flanders,5,0,GOOD,apartment,333,0,0,1,residential_monthly_rent
1,3,2002,Verviers,0,0,127,INSTALLED,108,Stavelot,0,3,B,4970,1000,10936617,Liège,Wallonie,11,0,GOOD,house,520,0,0,1,residential_monthly_rent
1,4,2002,Arlon,1,1,1,INSTALLED,120,Arlon,125,2,D,6700,1975,10936141,Luxembourg,Wallonie,5,3,AS_NEW,house,0,0,1,3,residential_monthly_rent
1,1,1993,Gent,0,0,127,SEMI_EQUIPPED,95,SINT-DENIJS-WESTREM,0,2,B,9051,500,10936068,East Flanders,Flanders,5,0,GOOD,apartment,333,0,0,1,residential_monthly_rent
1,2,2006,Leuven,0,0,127,INSTALLED,95,Bierbeek,70,4,B,3360,1380,10935645,Flemish Brabant,Flanders,1,0,AS_NEW,house,0,0,1,1,residential_monthly_rent
1,1,2002,Arlon,0,1,80,USA_INSTALLED,120,Arlon,0,3,B,6700,590,10935212,Luxembourg,Wallonie,4,1,GOOD,flat_studio,333,0,1,1,residential_monthly_rent
1,1,2002,Brussels,0,0,127,HYPER_EQUIPPED,60,Ixelles,60,2,E,1050,1200,10935098,Brussels,Brussels,5,1,AS_NEW,apartment,333,0,1,1,residential_monthly_rent
1,1,2013,Charleroi,0,0,127,INSTALLED,60,MONT SUR MARCHIENNE,0,2,B,6032,640,10934655,Hainaut,Wallonie,5,0,AS_NEW,apartment,333,0,0,1,residential_monthly_rent
1,1,2002,Brussels,0,0,127,HYPER_EQUIPPED,60,Saint-Gilles,60,2,E,1060,1200,10932782,Brussels,Brussels,5,1,AS_NEW,apartment,333,0,1,1,residential_monthly_rent
1,1,2023,Antwerp,0,0,127,INSTALLED,83,Burcht,100,3,B,2070,1000,10932291,Antwerp,Flanders,5,0,AS_NEW,apartment,333,0,1,1,residential_monthly_rent
1,1,2002,Kortrijk,0,0,127,INSTALLED,75,Waregem,0,2,B,8790,1435,10931372,West Flanders,Flanders,5,0,AS_NEW,service_flat,333,0,1,2,residential_monthly_rent
1,2,2002,Brugge,0,0,127,USA_INSTALLED,95,Brugge,0,2,B,8200,850,10931268,West Flanders,Flanders,5,0,AS_NEW,apartment,333,0,1,2,residential_monthly_rent
1,1,1996,Namur,0,0,127,USA_SEMI_EQUIPPED,45,La Bruyère,0,3,B,5080,550,10931053,Namur,Wallonie,5,1,JUST_RENOVATED,apartment,333,0,0,1,residential_monthly_rent
2,2,2002,Antwerp,0,0,127,INSTALLED,305,BRASSCHAAT,0,3,A,2930,4500,10928975,Antwerp,Flanders,5,0,GOOD,apartment,333,0,0,0,residential_monthly_rent
1,1,2014,Mechelen,0,0,127,INSTALLED,70,Sint-Katelijne-Waver,0,2,A,2861,840,10927573,Antwerp,Flanders,5,0,AS_NEW,apartment,333,0,1,2,residential_monthly_rent
1,1,2002,Liège,0,0,127,INSTALLED,120,Liege,0,2,B,4032,450,10927416,Liège,Wallonie,5,0,AS_NEW,apartment,333,0,1,1,residential_monthly_rent
2,5,2002,Gent,0,0,127,HYPER_EQUIPPED,250,Gent,50,2,B,9000,2800,10927362,East Flanders,Flanders,5,2,AS_NEW,duplex,333,0,1,3,residential_monthly_rent
1,2,2014,Mons,0,0,127,HYPER_EQUIPPED,80,FRAMERIES,0,4,C,7080,730,10927243,Hainaut,Wallonie,5,0,AS_NEW,apartment,333,0,1,1,residential_monthly_rent
1,1,2021,Antwerp,0,1,35,HYPER_EQUIPPED,50,Antwerpen Hoboken,65,2,A,2660,770,10926985,Antwerp,Flanders,5,0,GOOD,apartment,333,0,1,1,residential_monthly_rent
1,3,2002,Turnhout,0,0,127,SEMI_EQUIPPED,141,Houtvenne,0,3,B,2235,790,10926321,Antwerp,Flanders,5,1,GOOD,duplex,333,0,1,1,residential_monthly_rent
1,1,2002,Dendermonde,0,0,127,INSTALLED,62,DENDERMONDE,0,2,B,9200,993,10926270,East Flanders,Flanders,5,0,JUST_RENOVATED,service_flat,333,0,0,1,residential_monthly_rent
1,2,2002,Dendermonde,0,0,127,INSTALLED,79,DENDERMONDE,0,2,B,9200,1209,10926269,East Flanders,Flanders,5,0,JUST_RENOVATED,service_flat,333,0,0,1,residential_monthly_rent
1,1,2002,Dendermonde,0,0,127,INSTALLED,66,DENDERMONDE,0,2,B,9200,1029,10926267,East Flanders,Flanders,5,0,JUST_RENOVATED,service_flat,333,0,0,1,residential_monthly_rent
1,1,2002,Dendermonde,0,0,127,INSTALLED,52,DENDERMONDE,0,2,B,9200,915,10926266,East Flanders,Flanders,5,0,JUST_RENOVATED,service_flat,333,0,0,1,residential_monthly_rent
1,1,2002,Dendermonde,0,0,127,INSTALLED,61,DENDERMONDE,0,2,B,9200,1029,10926262,East Flanders,Flanders,5,0,JUST_RENOVATED,service_flat,333,0,0,1,residential_monthly_rent
1,1,1931,Brussels,0,0,127,INSTALLED,75,Ixelles,0,3,E,1050,890,10925512,Brussels,Brussels,5,1,GOOD,duplex,333,0,1,1,residential_monthly_rent
1,1,2002,Dendermonde,0,0,127,INSTALLED,53,DENDERMONDE,0,2,B,9200,945,10925294,East Flanders,Flanders,5,0,JUST_RENOVATED,service_flat,333,0,0,1,residential_monthly_rent
1,1,2002,Dendermonde,0,0,127,INSTALLED,51,DENDERMONDE,0,2,B,9200,942,10925297,East Flanders,Flanders,5,0,JUST_RENOVATED,service_flat,333,0,0,1,residential_monthly_rent
1,2,2002,Dendermonde,0,0,127,INSTALLED,85,DENDERMONDE,0,2,B,9200,1455,10925293,East Flanders,Flanders,5,0,JUST_RENOVATED,service_flat,333,0,0,1,residential_monthly_rent
1,1,2002,Dendermonde,0,0,127,INSTALLED,55,DENDERMONDE,0,2,B,9200,942,10925291,East Flanders,Flanders,5,0,JUST_RENOVATED,service_flat,333,0,0,1,residential_monthly_rent
1,2,2002,Dendermonde,0,0,127,INSTALLED,60,DENDERMONDE,0,2,B,9200,1056,10925288,East Flanders,Flanders,5,0,JUST_RENOVATED,service_flat,333,0,0,1,residential_monthly_rent
1,3,2012,Soignies,0,0,127,INSTALLED,120,La Louvière,150,4,B,7100,950,10924902,Hainaut,Wallonie,5,1,AS_NEW,apartment,333,0,1,2,residential_monthly_rent
1,2,2002,Charleroi,0,0,127,SEMI_EQUIPPED,81,Montigny-le-Tilleul,250,2,B,6110,750,10923907,Hainaut,Wallonie,6,0,AS_NEW,duplex,333,0,0,1,residential_monthly_rent
2,3,1998,Brussels,0,0,127,HYPER_EQUIPPED,260,Woluwe-Saint-Pierre,500,4,C,1150,2950,10923596,Brussels,Brussels,5,2,AS_NEW,apartment,333,0,0,3,residential_monthly_rent
1,2,2002,Brussels,0,0,127,HYPER_EQUIPPED,140,Brussel,200,3,C,1000,2000,10923231,Brussels,Brussels,5,1,AS_NEW,apartment,333,0,0,1,residential_monthly_rent
0,2,2002,Brugge,0,0,127,INSTALLED,161,Brugge,0,3,B,8000,1950,10921963,West Flanders,Flanders,1,0,GOOD,apartment,333,0,1,0,residential_monthly_rent
1,3,1789,Huy,0,1,200,USA_INSTALLED,200,Strée lez Huy,68,2,B,4577,1250,10921863,Liège,Wallonie,5,0,AS_NEW,house,0,0,1,1,residential_monthly_rent
1,1,2002,Antwerp,0,0,127,USA_HYPER_EQUIPPED,77,Antwerpen,30,1,D,2140,1050,10921629,Antwerp,Flanders,5,0,JUST_RENOVATED,apartment,333,0,1,1,residential_monthly_rent
1,2,2011,Antwerp,0,0,127,HYPER_EQUIPPED,113,Antwerpen,0,2,B,2060,985,20025858,Antwerp,Flanders,5,0,GOOD,duplex,333,0,1,1,residential_monthly_rent
1,2,2002,Liège,0,0,127,INSTALLED,90,Liège Bressoux,0,2,E,4020,710,20025855,Liège,Wallonie,5,1,GOOD,apartment,333,0,1,1,residential_monthly_rent
1,2,2002,Dinant,0,0,127,INSTALLED,65,Rochefort,0,2,C,5580,650,20025854,Namur,Wallonie,5,1,AS_NEW,apartment,333,0,0,1,residential_monthly_rent
1,2,2002,Halle-Vilvoorde,0,0,127,INSTALLED,80,Dilbeek,0,4,E,1700,900,20025849,Flemish Brabant,Flanders,5,0,GOOD,apartment,333,0,1,2,residential_monthly_rent
1,2,2019,Leuven,0,0,127,HYPER_EQUIPPED,96,Keerbergen,60,3,A,3140,990,20025848,Flemish Brabant,Flanders,5,1,AS_NEW,apartment,333,0,1,1,residential_monthly_rent
1,2,2020,Turnhout,0,0,127,HYPER_EQUIPPED,83,Turnhout,50,3,A,2300,1000,20025847,Antwerp,Flanders,5,0,AS_NEW,apartment,333,0,1,1,residential_monthly_rent
1,2,2002,Leuven,0,0,127,HYPER_EQUIPPED,120,Kortenberg,0,3,C,3078,1100,20025851,Flemish Brabant,Flanders,5,0,GOOD,apartment,333,0,1,1,residential_monthly_rent
3,2,2002,Brugge,0,0,127,HYPER_EQUIPPED,125,Brugge,75,2,B,8310,1300,10921103,West Flanders,Flanders,5,3,JUST_RENOVATED,duplex,333,0,1,1,residential_monthly_rent
1,1,2002,Tournai,0,0,127,INSTALLED,120,Tournai,80,2,C,7500,350,10920090,Hainaut,Wallonie,5,1,GOOD,kot,333,0,1,1,residential_monthly_rent
1,3,2002,Arlon,0,1,80,INSTALLED,127,Arlon,0,2,B,6700,1250,20025816,Luxembourg,Wallonie,5,0,GOOD,house,0,0,1,1,residential_monthly_rent
1,0,2002,Brussels,0,0,127,SEMI_EQUIPPED,120,Uccle - Ukkel,50,2,G,1180,760,20025811,Brussels,Brussels,5,1,GOOD,flat_studio,333,0,1,1,residential_monthly_rent
1,2,2002,Verviers,0,0,127,INSTALLED,100,Hombourg,0,3,B,4852,630,20025812,Liège,Wallonie,5,1,JUST_RENOVATED,apartment,333,0,0,1,residential_monthly_rent
1,2,1911,Brussels,0,0,127,USA_INSTALLED,76,Forest,50,2,C,1190,1050,20025810,Brussels,Brussels,5,1,AS_NEW,apartment,333,0,1,1,residential_monthly_rent
2,4,2017,Mechelen,0,0,127,INSTALLED,225,Schriek,0,3,B,2223,1400,20025807,Antwerp,Flanders,11,0,GOOD,house,450,0,0,2,residential_monthly_rent
1,2,2024,Mechelen,0,1,140,INSTALLED,132,Booischot,25,3,B,2221,975,20025808,Antwerp,Flanders,8,0,GOOD,ground_floor,333,0,1,1,residential_monthly_rent
2,3,1998,Antwerp,0,0,127,INSTALLED,165,EDEGEM,150,3,B,2650,1275,20025796,Antwerp,Flanders,5,0,GOOD,apartment,333,0,1,2,residential_monthly_rent
1,2,2002,Antwerp,0,0,127,INSTALLED,90,Antwerpen,130,4,B,2660,870,20025792,Antwerp,Flanders,5,0,GOOD,apartment,333,0,1,1,residential_monthly_rent
1,1,2002,Brussels,0,0,127,SEMI_EQUIPPED,120,Saint-Josse-ten-Noode,20,2,B,1210,850,20025788,Brussels,Brussels,3,1,GOOD,apartment,333,0,0,1,residential_monthly_rent
1,0,2002,Antwerp,0,0,127,INSTALLED,35,Antwerpen,0,3,B,2000,750,20025786,Antwerp,Flanders,1,0,AS_NEW,flat_studio,333,0,0,1,residential_monthly_rent
2,3,2013,Brussels,0,0,127,HYPER_EQUIPPED,141,Ixelles,350,2,C,1050,2500,20025780,Brussels,Brussels,5,1,GOOD,apartment,333,0,1,2,residential_monthly_rent
1,1,1900,Antwerp,0,0,127,USA_INSTALLED,120,Mortsel,50,2,C,2640,780,20025777,Antwerp,Flanders,5,1,AS_NEW,apartment,333,0,1,1,residential_monthly_rent
1,1,1890,Brussels,1,0,127,INSTALLED,120,Saint-Gilles,150,2,D,1060,1350,20025770,Brussels,Brussels,4,0,AS_NEW,duplex,333,0,1,1,residential_monthly_rent
1,2,1972,Halle-Vilvoorde,0,1,200,USA_INSTALLED,100,Grimbergen,0,3,B,1850,1300,20025768,Flemish Brabant,Flanders,5,1,GOOD,apartment,333,0,1,1,residential_monthly_rent
